INST_ID,INST_NAME,STATE_INST,HDG_ID,TOC_ID,PROG_TYPE,HBCU_FLAG,EPSCOR_FLAG,IDEA_FLAG,REGION,BIO_KIND,S_STATUS_ID,L1400_tot,Total_number,Total_Amount,occ,P1Q1A,P1Q1B,P1Q1C,P1Q1D,P1Q1E,P1Q1F,P1Q1G,P1Q1H,P1Q1J,P1Q2AGS,P1Q2BIO,P1Q2COS,P1Q2ENS,P1Q2ENG,P1Q2MAT,P1Q2MED,P1Q2PHS,P1Q2PSY,P1Q2SOS,P1Q2OS,P1Q4,P1Q5,P1Q6BX,P1Q6,P1Q10BX,P1Q10AGS,P1Q10BIO,P1Q10COS,P1Q10ENS,P1Q10ENG,P1Q10MAT,P1Q10MED,P1Q10PHS,P1Q10PSY,P1Q10SOS,P1Q10OS,P1Q12BX,P1Q12,P1Q13BX,P1Q13,P1Q14FED1,P1Q14FED2,P1Q14STA1,P1Q14STA2,P1Q14OS1,P1Q14OS2,P1Q14T1,P1Q14T2,P1Q15BX,P1Q15AGS,P1Q15BIO,P1Q15COS,P1Q15ENS,P1Q15ENG,P1Q15MAT,P1Q15MED,P1Q15PHS,P1Q15PSY,P1Q15SOS,P1Q15OS,P1Q17BX,P1Q17,P1Q18BX,P1Q18AGS1,P1Q18AGS2,P1Q18BIO1,P1Q18BIO2,P1Q18COS1,P1Q18COS2,P1Q18ENS1,P1Q18ENS2,P1Q18ENG1,P1Q18ENG2,P1Q18MAT1,P1Q18MAT2,P1Q18MED1,P1Q18MED2,P1Q18PHS1,P1Q18PHS2,P1Q18PSY1,P1Q18PSY2,P1Q18SOS1,P1Q18SOS2,P1Q18OS1,P1Q18OS2,P1Q20BX,P1Q20_1,P1Q20_2,P1Q21BX,P1Q21AGS1,P1Q21AGS2,P1Q21BIO1,P1Q21BIO2,P1Q21COS1,P1Q21COS2,P1Q21ENS1,P1Q21ENS2,P1Q21ENG1,P1Q21ENG2,P1Q21MAT1,P1Q21MAT2,P1Q21MED1,P1Q21MED2,P1Q21PHS1,P1Q21PHS2,P1Q21PSY1,P1Q21PSY2,P1Q21SOS1,P1Q21SOS2,P1Q21OS1,P1Q21OS2,P1Q23BX,P1Q23_1,P1Q23_2,P1Q24BX,P1Q24AGS1,P1Q24AGS2,P1Q24BIO1,P1Q24BIO2,P1Q24COS1,P1Q24COS2,P1Q24ENS1,P1Q24ENS2,P1Q24ENG1,P1Q24ENG2,P1Q24MAT1,P1Q24MAT2,P1Q24MED1,P1Q24MED2,P1Q24PHS1,P1Q24PHS2,P1Q24PSY1,P1Q24PSY2,P1Q24SOS1,P1Q24SOS2,P1Q24OS1,P1Q24OS2,P1Q26BX,P1Q26_1,P1Q26_2
2002,Western Kentucky University,KY,2,1,1,0,1,1,3,,1,5729,0,0,,1,1,1,1,0,1,0,0,0,4867,13113,3528,9999,18049,5021,0,30872,1668,0,0,0,0,1,S,0,0,0,0,0,0,0,0,1573276,0,0,0,1,S,1,0,0,S,1573276,S,0,S,1573276,S,1,0,0,0,0,0,0,0,0,0,0,0,1,S,0,0,0,0,0,918400,3528,0,0,0,0,1321600,5021,0,0,0,0,0,0,0,0,0,0,1,S,S,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,S,S,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,S,S
2005,Nicholls State University,LA,2,1,1,0,1,1,3,,1,1075,0,0,,1,1,1,1,0,1,0,0,0,32472,16067,864,0,915,0,0,13916,2519,0,0,0,0,1,S,1,0,0,0,0,0,0,0,0,0,0,0,1,S,1,0,S,S,S,S,S,S,S,S,1,0,0,0,0,0,0,0,0,0,0,0,1,S,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,S,S,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,S,S,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,S,S
2006,Grambling State University,LA,2,1,1,1,1,1,3,,1,1934,0,0,,1,1,1,0,0,0,0,0,0,0,9965,648,0,0,0,0,5652,0,1600,20600,0,0,1,S,1,0,0,0,0,0,0,0,0,0,0,0,1,S,1,0,S,S,S,S,S,S,S,S,1,0,0,0,0,0,0,0,0,0,0,0,1,S,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,S,S,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,S,S,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,S,S
2008,Louisiana Tech University,LA,1,1,1,0,1,1,3,,1,16118,0,0,,1,1,1,1,0,1,0,0,1,12620,19751,4947,0,44539,4040,0,11298,1077,2138,0,3071,0,1,S,1,0,0,0,0,0,0,0,0,0,0,0,1,S,0,1,S,500000,S,6000000,S,3500000,S,10000000,1,0,0,0,0,0,0,0,0,0,0,0,1,S,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,S,S,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,S,S,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,S,S
2010,"Louisiana State University, A & M College",LA,1,1,1,0,1,1,3,,1,222556,0,0,,1,1,1,1,0,1,0,0,2,233659,139837,8804,137057,203574,3554,73242,63207,9059,16253,818,0,0,1,S,0,324768,438565,3723372,0,976500,2014614,0,0,3047270,5412090,525999,1,S,0,4,0,0,4417274,3295249,12045904,11586764,16463178,14882013,1,0,0,0,0,0,0,0,0,0,0,0,1,S,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,S,S,0,0,0,24992500,0,1900000,0,0,0,64531666,0,6550000,0,0,0,25215000,0,2475000,0,27107500,0,1875000,0,1,S,S,0,5666666,0,17166666,0,39525000,0,31350000,0,0,0,31525000,0,0,0,33728333,0,12691666,0,10525000,0,0,0,1,S,S
2014,Louisiana State University Health Sciences Center,LA,1,1,1,0,1,1,3,,1,95777,0,0,,1,1,1,1,1,1,0,1,1,0,84716,0,0,0,0,154320,0,0,0,0,22904,11185,0,227851,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,S,S,S,S,S,S,S,S,0,0,0,0,0,0,0,9800000,0,0,0,0,0,M,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,554000,0,0,0,0,0,0,0,0,0,0,554000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32600000,0,0,0,0,0,0,0,0,0,0,32600000,0
2015,University of New Orleans,LA,1,1,1,0,1,1,3,,9,22956,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,University of Louisiana at Monroe,LA,1,1,1,0,1,1,3,,1,5086,0,0,,1,1,1,1,0,1,0,0,0,6237,14743,152,820,0,0,16949,375,0,1914,0,0,0,1,S,0,0,0,0,0,0,0,0,295000,0,0,0,1,S,1,0,0,S,295000,S,0,S,295000,S,1,0,0,0,0,0,0,0,0,0,0,0,1,S,0,0,0,0,0,0,0,0,0,0,0,0,0,4450000,90000,0,0,0,0,0,0,0,0,1,S,S,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,S,S,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,S,S
2024,Southeastern Louisiana University,LA,2,1,1,0,1,1,3,,1,1681,0,0,,1,1,1,0,0,1,0,0,0,0,19928,957,0,0,2491,5354,5042,1192,1528,0,0,0,1,S,1,0,0,0,0,0,0,0,0,0,0,0,1,S,1,0,S,S,S,S,S,S,S,S,1,0,0,0,0,0,0,0,0,0,0,0,1,S,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,S,S,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,S,S,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,S,S
2025,Southern University and A & M College at Baton Rouge,LA,1,1,1,1,1,1,3,,1,4317,0,0,,1,1,1,1,0,1,0,0,0,7428,11120,81014,11559,54482,6100,14190,18899,2982,16222,15015,0,0,1,S,1,0,0,0,0,0,0,0,0,0,0,0,1,S,1,0,S,S,S,S,S,S,S,S,1,0,0,0,0,0,0,0,0,0,0,0,1,S,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,S,S,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,S,S,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,S,S
