YEAR,INST_ID,INST_NAME,submission_flag,fice,inst_type,inst_state,hdg_code,toc_code,HBCU_FLAG,AAMC_FLAG,AACOM_flag,med_school_flag,epscor_flag,idea_flag,region,exp_tot_2010,P1Q1A,P1Q1B,P1Q1C,P1Q1D,P1Q1E,P1Q1F,P1Q1G,P1Q1H,P1Q1J,P1Q2AGRX,P1Q2AGR,P1Q2BIOX,P1Q2BIO,P1Q2COSX,P1Q2COS,P1Q2ENGX,P1Q2ENG,P1Q2HLTHX,P1Q2HLTH,P1Q2MATHX,P1Q2MATH,P1Q2PHY1X,P1Q2PHY1,P1Q2PHY2X,P1Q2PHY2,P1Q2PSYX,P1Q2PSY,P1Q2SOCX,P1Q2SOC,P1Q2OTHX,P1Q2OTH,P1Q4,P1Q5Box,P1Q5,P1Q7Box,P1Q7AGR,P1Q7BIO,P1Q7COS,P1Q7ENG,P1Q7HLTH,P1Q7MATH,P1Q7PHY1,P1Q7PHY2,P1Q7PSY,P1Q7SOC,P1Q7OTH,P1Q8Box,P1Q8,P1Q9Box,P1Q9,P1Q10A1,P1Q10B1,P1Q10C1,P1Q10TOT1,P1Q10A2,P1Q10B2,P1Q10C2,P1Q10TOT2,P1Q11Box,P1Q11AGR,P1Q11BIO,P1Q11COS,P1Q11ENG,P1Q11HLTH,P1Q11MATH,P1Q11PHY1,P1Q11PHY2,P1Q11PSY,P1Q11SOC,P1Q11OTH,P1Q12Box,P1Q12,P1Q13Box,P1Q13AGR_1,P1Q13BIO_1,P1Q13COS_1,P1Q13ENG_1,P1Q13HLTH_1,P1Q13MATH_1,P1Q13PHY1_1,P1Q13PHY2_1,P1Q13PSY_1,P1Q13SOC_1,P1Q13OTH_1,P1Q13AGR_2,P1Q13BIO_2,P1Q13COS_2,P1Q13ENG_2,P1Q13HLTH_2,P1Q13MATH_2,P1Q13PHY1_2,P1Q13PHY2_2,P1Q13PSY_2,P1Q13SOC_2,P1Q13OTH_2,P1Q14Box,P1Q14A,P1Q14B,P1Q15Box,P1Q15AGR_1,P1Q15BIO_1,P1Q15COS_1,P1Q15ENG_1,P1Q15HLTH_1,P1Q15MATH_1,P1Q15PHY1_1,P1Q15PHY2_1,P1Q15PSY_1,P1Q15SOC_1,P1Q15OTH_1,P1Q15AGR_2,P1Q15BIO_2,P1Q15COS_2,P1Q15ENG_2,P1Q15HLTH_2,P1Q15MATH_2,P1Q15PHY1_2,P1Q15PHY2_2,P1Q15PSY_2,P1Q15SOC_2,P1Q15OTH_2,P1Q16Box,P1Q16A,P1Q16B,P1Q17Box,P1Q17AGR_1,P1Q17BIO_1,P1Q17COS_1,P1Q17ENG_1,P1Q17HLTH_1,P1Q17MATH_1,P1Q17PHY1_1,P1Q17PHY2_1,P1Q17PSY_1,P1Q17SOC_1,P1Q17OTH_1,P1Q17AGR_2,P1Q17BIO_2,P1Q17COS_2,P1Q17ENG_2,P1Q17HLTH_2,P1Q17MATH_2,P1Q17PHY1_2,P1Q17PHY2_2,P1Q17PSY_2,P1Q17SOC_2,P1Q17OTH_2,P1Q18Box,P1Q18A,P1Q18B
2011,1028,California State University Fresno,Y,001147,1,CA,2,1,0,0,0,0,0,0,4,8117,1,1,1,1,0,1,0,0,0,1,11952,1,16113,1,105,1,5126,1,1118,0,0,1,1933,1,7487,1,5827,1,3263,0,0,0,0,S,0,0,0,0,0,0,0,0,0,0,0,0,0,S,0,0,S,S,S,S,S,S,S,S,0,0,0,0,0,0,0,0,0,0,0,0,0,S,1,24084000,0,0,0,2405520,0,0,0,0,0,0,29351,0,0,0,3800,0,0,0,0,0,0,0,S,S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,S,S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,S,S
2011,1029,Humboldt State University,Y,001149,1,CA,2,1,0,0,0,0,0,0,4,7505,1,1,1,1,0,1,0,0,0,1,22951,1,22474,1,630,1,7628,1,1591,1,1112,1,4393,1,2946,1,3721,1,1836,0,0,0,0,S,0,0,0,0,0,0,0,0,0,0,0,0,0,S,0,0,S,S,S,S,S,S,S,S,0,0,0,0,0,0,0,0,0,0,0,0,0,S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,S,S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,S,S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,S,S
2011,1030,San Diego State University,Y,001151,1,CA,1,1,0,0,0,0,0,0,4,95064,1,1,1,1,1,1,1,0,0,0,0,1,105550,1,3100,1,9973,1,71750,1,8400,1,5700,1,33000,1,44750,1,31500,1,3500,0,0,S,1,0,1216000,0,0,0,0,0,0,0,300000,0,0,S,0,0,0,300000,1216000,1516000,S,S,S,S,1,0,1512000,0,0,0,0,0,0,0,0,0,0,S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,S,S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,S,S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,S,S
2011,1031,California State University Northridge,Y,001153,1,CA,2,1,0,0,0,0,0,0,4,16747,1,1,1,1,0,0,2,0,0,0,0,1,18585,1,4146,1,18409,1,6039,1,1884,1,4304,1,9302,1,4577,1,4018,0,0,0,0,S,0,0,0,0,0,0,0,0,0,0,0,0,0,S,0,0,S,S,S,S,S,S,S,S,0,0,0,0,0,0,0,0,0,0,0,0,0,S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,S,S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,S,S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,S,S
2011,1032,San Jose State University,Y,001155,1,CA,2,1,0,0,0,0,0,0,4,32947,1,1,1,1,0,1,0,0,0,0,0,1,34378,1,808,1,94579,1,12262,1,1493,1,612,1,5235,1,260,1,5380,0,0,0,0,S,1,0,0,0,0,1500000,0,0,0,0,0,0,0,S,0,0,0,0,1500000,1500000,S,S,S,S,1,0,0,0,0,58000000,0,0,0,0,0,0,0,S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,S,S,1,0,0,0,0,0,0,0,0,0,0,0,0,13800000,0,0,0,0,0,0,0,0,0,0,S,S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,S,S
2011,1033,Claremont Graduate University,Y,001169,1,CA,1,2,0,0,0,0,0,0,4,5068,1,1,2,2,1,1,0,0,1,0,0,0,0,1,2554,0,0,1,9000,1,150,0,0,0,0,1,2269,1,781,0,0,700,0,S,0,0,0,0,0,0,0,0,0,0,0,0,0,S,0,0,S,S,S,S,S,S,S,S,0,0,0,0,0,0,0,0,0,0,0,0,0,S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,S,S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,S,S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,S,S
2011,1034,Harvey Mudd College,Y,001171,1,CA,3,2,0,0,0,0,0,0,4,3214,1,1,1,0,2,0,0,0,0,0,0,1,7251,1,1815,1,16853,0,0,1,1895,0,0,1,27162,0,0,0,0,0,0,0,0,S,0,0,0,0,0,0,0,0,0,0,0,0,0,S,0,0,S,S,S,S,S,S,S,S,0,0,0,0,0,0,0,0,0,0,0,0,0,S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,S,S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,S,S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,S,S
2011,1035,Pomona College,Y,001173,1,CA,3,2,0,0,0,0,0,0,4,2377,1,1,1,1,0,1,0,0,0,0,0,1,59583,1,10117,0,0,0,0,1,22000,1,20233,1,71300,1,30350,1,47200,0,0,0,0,S,0,0,0,0,0,0,0,0,0,0,0,0,0,S,0,0,S,S,S,S,S,S,S,S,1,0,0,0,0,0,2212000,0,6142000,0,0,0,0,S,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,0,S,S,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,0,S,S,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,0,S,S
2011,1036,Loma Linda University,Y,001218,1,CA,1,2,0,1,0,1,0,0,4,32915,1,1,1,1,0,1,2,1,1,0,0,1,37745,0,0,1,122,1,20629,0,0,0,0,0,0,0,0,0,0,0,0,296,1,49048,1,0,0,0,0,250000,0,0,0,0,0,0,1,250000,0,0,0,0,250000,250000,S,S,S,S,1,0,0,0,0,250000,0,0,0,0,0,0,1,250000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2011,1037,Occidental College,Y,001249,1,CA,2,2,0,0,0,0,0,0,4,2154,1,1,1,1,0,1,0,0,0,0,0,1,48000,0,0,0,0,1,1314,1,9645,1,21000,1,48300,1,2238,1,30775,0,0,0,0,S,1,0,0,0,0,0,0,0,600000,0,0,0,0,S,1,1,0,0,600000,600000,0,0,2262000,2262000,0,0,0,0,0,0,0,0,0,0,0,0,0,S,1,0,0,0,0,0,0,0,0,0,667450,0,0,0,0,0,0,0,0,0,0,1907,0,0,S,S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,S,S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,S,S
2011,1038,Stanford University,Y,001305,1,CA,1,2,0,1,0,1,0,0,4,810300,1,1,0,1,1,1,1,1,0,1,21661,1,302967,1,34474,1,294065,1,535895,1,10568,1,23892,1,258160,1,17270,1,20467,0,0,0,1,759112,1,0,0,0,0,10033000,0,0,2083000,7040000,0,0,1,10033000,1,1,0,0,19156000,19156000,0,0,14058000,14058000,1,0,0,0,6716000,35027000,0,278000,950000,315000,0,0,1,35027000,1,0,3296000,3296000,109493000,38487000,0,3296000,3296000,0,0,0,0,852,852,68412,18329,0,852,852,0,0,0,1,38487000,18329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,150000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2011,1039,"University of California, Berkeley",Y,001312,1,CA,1,1,0,0,0,0,0,0,4,659572,1,1,1,1,1,1,1,0,0,1,50080,1,799173,1,35447,1,618916,1,128820,1,39694,1,85346,1,370535,1,88296,1,296710,1,21964,0,0,S,1,612000,54856000,0,6776000,1717000,370000,0,1102000,6618000,0,0,0,S,1,3,0,43615000,28436000,72051000,400000,40000000,109074000,149474000,1,0,4756000,0,5879000,0,0,0,3068000,0,0,0,0,S,1,0,0,0,0,0,0,3461000,59893000,0,0,0,0,0,0,0,0,0,2505,35391,0,0,0,0,S,S,1,9540000,37161000,0,12345000,0,5069000,0,276000,0,18241000,0,0,17212000,0,45424000,0,0,0,4316000,375000,18544000,0,0,S,S,1,0,0,0,0,90000000,0,0,0,65377000,22720000,0,0,0,0,0,0,0,0,0,0,0,0,0,S,S
2011,1040,"University of California, Davis",Y,001313,1,CA,1,1,0,1,0,1,0,0,4,669282,1,1,2,1,1,1,1,1,1,1,727760,1,853558,1,34019,1,294410,1,532989,1,14220,1,51310,1,192303,1,36148,1,79486,1,110977,328282,1,502070,1,0,0,0,5200000,36000000,0,0,0,0,0,0,1,35000000,1,10,0,0,41200000,41200000,27328000,93000000,65891000,186219000,1,0,2402000,0,0,11400000,0,0,3000000,0,0,0,1,11400000,1,7000000,0,0,52362000,80000000,0,0,0,0,0,0,7500,0,0,25000,150000,0,0,0,0,0,0,1,70000000,100000,1,30000000,24026000,6500000,0,150000000,0,0,75000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,75000000,0,1,0,0,0,0,60000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,60000000,0
2011,1041,"University of California, Irvine",Y,001314,1,CA,1,1,0,1,0,1,0,0,4,311105,1,1,1,1,1,1,1,1,0,0,0,1,475226,1,69203,1,266986,1,330746,1,16087,1,35053,1,230369,1,45173,1,77102,0,0,0,1,472653,1,0,1295199,0,2983214,23767399,0,301823,10754671,0,0,0,1,7816976,1,1,15055423,0,24046883,39102306,0,0,5162604,5162604,1,0,10620827,0,6510000,4558000,0,0,0,0,0,0,1,4558000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,8812000,53000000,0,0,0,0,0,0,0,0,1174000,6058000,7119000,0,0,300000,0,0,0,1,61812000,7119000,1,0,0,0,0,80000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,80000000,0
