,YEAR,INST_ID,INST_NAME,INST_STATE,TOC_CODE,EXP_TOT,NASF_AG,NASF_BIO,NASF_COS,NASF_ENG,NASF_HLTH,NASF_MATH,NASF_GEO,NASF_PHY,NASF_PSY,NASF_SOC,NASF_OTH,NASF_MED,RR_AG,RR_BIO,RR_COS,RR_ENG,RR_HLTH,RR_MATH,RR_GEO,RR_PHY,RR_PSY,RR_SOC,RR_OTH,RR_MED,RR_FED,RR_STA,RR_INST,RR_TFUND,NC_FED,NC_STA,NC_INST,NC_TFUND,NASF_NR,RR_NR,NASF_CLIN_TRIAL
20,2007,1022,California State University-Los Angeles,CA,1,8956,0.0,26239,1125.0,2720.0,954.0,823.0,1278.0,37504.0,4559,1615.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
21,2007,1023,California State University-Dominguez Hills,CA,1,3190,0.0,4275,808.0,0.0,0.0,0.0,0.0,3701.0,676,692.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
22,2007,1024,California State University-San Bernardino,CA,1,11120,0.0,4466,0.0,0.0,860.0,409.0,392.0,2108.0,11524,1352.0,0.0,0,0,851621,0,0,0,0,0,402628,0,0,0,0,1254249,0,0,1254249,0,0,0,0,,,
23,2007,1025,California Polytechnic State University-San Luis Obispo,CA,1,12529,37015.0,17176,6000.0,31466.0,200.0,600.0,500.0,7695.0,1990,375.0,2400.0,0,0,1650000,0,0,0,0,0,0,0,0,0,0,1650000,0,0,1650000,0,0,787500,787500,,,
24,2007,1026,California State Polytechnic University-Pomona,CA,1,2502,16523.0,12238,94.0,15234.0,0.0,117.0,650.0,871.0,196,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,461250,461250,,,
25,2007,1027,California State University-Chico,CA,1,2767,386.0,10018,609.0,2981.0,0.0,0.0,967.0,3837.0,724,5288.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
26,2007,1028,California State University-Fresno,CA,1,9749,11769.0,13518,105.0,5126.0,868.0,0.0,1427.0,7124.0,5556,3263.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
27,2007,1029,Humboldt State University,CA,1,6500,27381.0,22082,202.0,2008.0,1591.0,805.0,4393.0,2946.0,3721,1836.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
28,2007,1030,San Diego State University,CA,1,73777,10000.0,90110,2890.0,1681.0,71754.0,8681.0,4400.0,33260.0,44750,8435.0,1000.0,0,0,1487000,0,0,0,0,0,390000,0,0,0,0,0,0,1877000,1877000,0,0,0,0,,,
29,2007,1031,California State University-Northridge,CA,1,7490,0.0,14721,770.0,16737.0,1000.0,0.0,336.0,8267.0,8982,3473.0,0.0,0,0,260920,0,0,0,0,0,660000,0,0,0,0,0,551920,369000,920920,0,9700000,0,9700000,,,
30,2007,1032,San Jose State University,CA,1,34687,0.0,11324,808.0,94579.0,0.0,1493.0,612.0,5235.0,260,5280.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
31,2007,1033,Claremont Graduate University,CA,2,3100,0.0,0,1156.0,0.0,0.0,442.0,0.0,0.0,2637,1217.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
32,2007,1034,Harvey Mudd College,CA,2,2301,0.0,9767,4832.0,21096.0,0.0,5096.0,0.0,24427.0,648,675.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
33,2007,1035,Pomona College,CA,2,2584,0.0,40250,10117.0,0.0,0.0,22000.0,20233.0,71300.0,30350,47200.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
34,2007,1036,Loma Linda University,CA,2,32451,0.0,71544,0.0,0.0,21852.0,0.0,0.0,0.0,4098,4088.0,175.0,94030,0,0,0,0,600000,0,0,0,0,0,0,600000,600000,0,0,600000,0,0,0,0,,,
35,2007,1037,Occidental College,CA,2,1449,0.0,48000,0.0,0.0,2000.0,9645.0,21000.0,48300.0,2175,30775.0,0.0,0,0,277000,0,0,0,0,0,0,0,0,0,0,0,0,277000,277000,0,0,0,0,,,
36,2007,1038,Stanford University,CA,2,679196,56449.0,109243,8186.0,231436.0,605960.0,947.0,114729.0,114078.0,25709,15847.0,0.0,605960,0,31699349,0,8764534,5296215,0,2810144,3972000,0,0,0,36995564,0,0,52542242,52542242,0,0,118762213,118762213,,,
37,2007,1039,University of California-Berkeley,CA,1,546035,33745.0,723119,33836.0,569459.0,104614.0,38082.0,80975.0,350111.0,93440,295357.0,0.0,0,253000,6127000,0,1349000,2260000,0,0,6058000,308000,0,3700000,0,3943000,0,16112000,20055000,0,0,1811000,1811000,,,
38,2007,1040,University of California-Davis,CA,1,573002,650000.0,680000,28000.0,260000.0,580000.0,11000.0,36000.0,185365.0,27000,102000.0,250000.0,427000,397700,1547294,0,2125394,95693848,0,7463000,2323570,0,630000,0,76452000,0,20133480,90047326,110180806,9142000,206615000,247328000,463085000,,,
39,2007,1041,University of California-Irvine,CA,1,300229,0.0,403046,35020.0,211364.0,224455.0,11815.0,42630.0,219739.0,30323,61020.0,44787.0,401854,0,250000,0,260000,5179948,0,4575000,0,0,0,0,0,1965000,0,8299948,10264948,0,101058676,32648344,133707020,,,
40,2007,1042,University of California-Los Angeles,CA,1,811493,0.0,354093,37516.0,217345.0,904373.0,32803.0,110012.0,333351.0,88329,138873.0,12988.0,1049736,0,1552981,0,1048900,1798446,0,628802,0,250000,510874,0,260000,0,0,5790003,5790003,0,92818000,62560000,155378000,,,
