,YEAR,INST_ID,INST_NAME,INST_STATE,NASF_AG,NASF_BIO,NASF_COS,NASF_ENG,NASF_HLTH,NASF_MATH,NASF_NR,NASF_GEO,NASF_PHY,NASF_PSY,NASF_SOC,NASF_CLIN_TRIAL,NASF_OTH,NASF_MED,RR_AG,RR_BIO,RR_COS,RR_ENG,RR_HLTH,RR_MATH,RR_NR,RR_GEO,RR_PHY,RR_PSY,RR_SOC,RR_OTH,RR_MED,RR_FED,RR_STA,RR_INST,RR_TFUND,NC_STA,NC_INST,NC_TFUND,EXP_TOT
238,2017,1285,Bucknell University,PA,0,19510,980,19760,0,280,880,7160,20410,11650,0,0,0,0,0,0,0,2250000,0,0,0,0,0,500000,0,0,0,0,0,2750000,2750000,0,0,0,4014
239,2017,1286,Carnegie Mellon University,PA,0,57410,123770,313330,0,7286,0,0,49789,27623,7185,0,10285,0,0,0,485000,19496200,0,0,0,0,0,0,917000,0,0,0,0,20898200,20898200,0,0,0,304383
240,2017,1288,Drexel University,PA,0,98237,7538,120616,77852,4502,12418,0,28101,1715,532,6190,4125,115843,0,6900000,0,6730635,0,0,0,0,2941147,0,0,0,0,0,0,16571782,16571782,0,0,0,120789
241,2017,1289,Duquesne University,PA,0,75500,5000,9262,133664,5000,0,0,100000,7430,50000,0,0,0,0,976000,0,500000,0,0,0,0,673000,0,0,0,0,0,0,2149000,2149000,0,0,0,14211
242,2017,1291,Haverford College,PA,0,8636,3340,0,0,3013,0,2300,17726,5651,0,0,0,0,0,7695000,0,0,0,0,0,0,0,5130000,0,0,0,0,0,12825000,12825000,0,0,0,1750
243,2017,1292,Thomas Jefferson University,PA,0,328771,0,0,6426,0,0,0,0,0,0,26808,0,328771,0,5632000,0,0,0,0,0,0,0,0,0,0,5632000,0,0,5632000,5632000,0,0,0,122396
244,2017,1294,Lehigh University,PA,0,28489,0,134309,0,0,0,12985,34186,9061,1192,0,0,0,0,0,0,1000000,0,0,0,0,0,0,0,0,0,0,0,1000000,1000000,0,5000000,5000000,30375
245,2017,1296,West Chester University of Pennsylvania,PA,0,8820,0,0,1292,0,0,10000,9000,4300,340,0,0,0,0,0,0,0,0,0,0,0,0,2000000,0,0,0,0,0,2000000,2000000,0,0,0,3138
246,2017,1298,Swarthmore College,PA,0,13408,2389,4913,0,945,0,0,12537,4009,1451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12640000,12640000,2310
247,2017,1299,Temple University,PA,1853,137005,6519,35438,166583,119,864,9146,72539,23962,15875,128259,18857,221357,0,2686374,685000,250000,6040000,0,0,0,0,273800,474000,3939400,2341374,0,0,14348574,14348574,0,0,0,232379
248,2017,1300,University of Pennsylvania,PA,6431,680176,20927,144095,704926,3871,6702,81815,41138,17641,50066,122612,6452,1162978,0,28960330,0,11715071,206697554,0,425000,0,8499707,0,2320000,0,119582054,0,3131065,255486597,258617662,0,38601918,38601918,1140833
249,2017,1301,Villanova University,PA,0,20508,4561,43454,1045,480,3064,1739,16511,6433,910,0,0,0,0,397456,0,0,0,0,0,0,322933,0,0,0,0,0,0,720389,720389,0,0,0,12934
250,2017,1302,Brown University,RI,0,117245,9811,61986,42018,19954,1591,22092,39633,18437,2638,10000,0,159263,0,4494957,408778,0,0,0,0,11541500,2161172,0,0,0,4494957,0,0,18606407,18606407,0,42521710,42521710,235373
251,2017,1303,University of Rhode Island,RI,20997,48897,1014,25772,23778,114,35800,86404,14249,990,5837,0,8461,0,0,0,0,1766240,0,0,0,0,0,0,0,0,0,0,1516240,250000,1766240,64091294,2249899,66341193,90562
