YEAR,INST_ID,INST_NAME,submission_flag,fice,inst_type,biomed_type_code,inst_state,hdg_code,toc_code,HBCU_FLAG,AAMC_FLAG,AACOM_flag,med_school_flag,epscor_flag,idea_flag,region,exp_tot_2006,biomed_tot,P1Q1A,P1Q1B,P1Q1C,P1Q1D,P1Q1E,P1Q1F,P1Q1G,P1Q1H,P1Q1J,P1Q2AGRX,P1Q2AGR,P1Q2BIOX,P1Q2BIO,P1Q2COSX,P1Q2COS,P1Q2ENGX,P1Q2ENG,P1Q2HLTHX,P1Q2HLTH,P1Q2MATHX,P1Q2MATH,P1Q2PHY1X,P1Q2PHY1,P1Q2PHY2X,P1Q2PHY2,P1Q2PSYX,P1Q2PSY,P1Q2SOCX,P1Q2SOC,P1Q2OTHX,P1Q2OTH,P1Q4,P1Q5Box,P1Q5,P1Q9Box,P1Q9AGR,P1Q9BIO,P1Q9COS,P1Q9ENG,P1Q9HLTH,P1Q9MATH,P1Q9PHY1,P1Q9PHY2,P1Q9PSY,P1Q9SOC,P1Q9OTH,P1Q11Box,P1Q11,P1Q12Box,P1Q12,P1Q13A1,P1Q13B1,P1Q13C1,P1Q13TOT1,P1Q13A2,P1Q13B2,P1Q13C2,P1Q13TOT2,P1Q14Box,P1Q14AGR,P1Q14BIO,P1Q14COS,P1Q14ENG,P1Q14HLTH,P1Q14MATH,P1Q14PHY1,P1Q14PHY2,P1Q14PSY,P1Q14SOC,P1Q14OTH,P1Q16Box,P1Q16,P1Q17Box,P1Q17AGR_1,P1Q17BIO_1,P1Q17COS_1,P1Q17ENG_1,P1Q17HLTH_1,P1Q17MATH_1,P1Q17PHY1_1,P1Q17PHY2_1,P1Q17PSY_1,P1Q17SOC_1,P1Q17OTH_1,P1Q17AGR_2,P1Q17BIO_2,P1Q17COS_2,P1Q17ENG_2,P1Q17HLTH_2,P1Q17MATH_2,P1Q17PHY1_2,P1Q17PHY2_2,P1Q17PSY_2,P1Q17SOC_2,P1Q17OTH_2,P1Q19Box,P1Q19A,P1Q19B,P1Q20Box,P1q20AGR_1,P1q20BIO_1,P1q20COS_1,P1q20ENG_1,P1q20HLTH_1,P1q20MATH_1,P1q20PHY1_1,P1q20PHY2_1,P1q20PSY_1,P1q20SOC_1,P1q20OTH_1,P1q20AGR_2,P1q20BIO_2,P1q20COS_2,P1q20ENG_2,P1q20HLTH_2,P1q20MATH_2,P1q20PHY1_2,P1q20PHY2_2,P1q20PSY_2,P1q20SOC_2,P1q20OTH_2,P1Q22Box,P1Q22A,P1Q22B,P1Q23Box,P1Q23AGR_1,P1Q23BIO_1,P1Q23COS_1,P1Q23ENG_1,P1Q23HLTH_1,P1Q23MATH_1,P1Q23PHY1_1,P1Q23PHY2_1,P1Q23PSY_1,P1Q23SOC_1,P1Q23OTH_1,P1Q23AGR_2,P1Q23BIO_2,P1Q23COS_2,P1Q23ENG_2,P1Q23HLTH_2,P1Q23MATH_2,P1Q23PHY1_2,P1Q23PHY2_2,P1Q23PSY_2,P1Q23SOC_2,P1Q23OTH_2,P1Q25Box,P1Q25A,P1Q25B
2007,1012,University of Arizona,Y,001083,A,N,AZ,1,1,0,1,0,1,0,0,4,535847,.,1,1,1,1,1,1,1,1,1,1,626307,1,102565,1,12724,1,127826,1,476776,1,4074,1,179066,1,412922,1,20922,1,74606,0,0,31090,1,403059,1,7110473,0,0,0,336303,0,993519,3245000,0,0,0,1,0,1,3,0,2409408,9275887,11685295,0,0,18604872,18604872,1,4473333,0,0,0,0,0,4700000,280000,0,0,0,1,0,1,9000000,0,0,0,0,0,0,0,0,0,0,12300,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2007,1013,University of Arkansas at Pine Bluff,Y,001086,A,N,AR,3,1,1,0,0,0,1,1,3,6774,.,1,1,1,0,0,1,0,0,0,1,12000,1,48500,1,2750,0,0,0,0,1,4000,0,0,1,12740,1,1500,1,5800,0,0,0,0,S,0,0,0,0,0,0,0,0,0,0,0,0,0,S,0,0,S,S,S,S,S,S,S,S,0,0,0,0,0,0,0,0,0,0,0,0,0,S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,S,S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,S,S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,S,S
2007,1014,Arkansas State University,Y,001090,A,N,AR,1,1,0,0,0,0,1,1,3,6007,.,1,1,1,1,1,1,0,0,0,1,41181,1,43000,1,1500,1,13120,1,2500,1,2800,1,2000,1,21623,1,5200,1,2450,1,71431,0,0,S,1,0,403000,0,0,0,0,0,0,0,0,0,0,S,0,0,0,403000,0,403000,S,S,S,S,0,0,0,0,0,0,0,0,0,0,0,0,0,S,1,0,0,0,0,659000,0,0,0,0,0,0,0,0,0,0,2840,0,0,0,0,0,0,0,S,S,1,1160044,2044800,0,600000,0,0,450000,2500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,S,S,1,0,11000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,S,S
2007,1015,University of Central Arkansas,Y,001092,A,N,AR,1,1,0,0,0,0,1,1,3,7002,.,1,1,0,0,0,0,0,0,1,0,0,1,17615,1,3257,0,0,1,8623,1,1922,0,0,1,38025,1,3287,1,1653,0,0,1577,0,S,0,0,0,0,0,0,0,0,0,0,0,0,0,S,0,0,S,S,S,S,S,S,S,S,0,0,0,0,0,0,0,0,0,0,0,0,0,S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,S,S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,S,S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,S,S
2007,1016,University of Arkansas at Little Rock,Y,001101,A,N,AR,1,1,0,0,0,0,1,1,3,9331,.,1,1,1,1,2,1,0,0,0,0,0,1,14241,1,6944,1,48870,0,0,0,0,1,2000,1,11200,1,4984,0,0,1,1500,0,0,S,1,0,0,0,0,0,0,0,0,0,0,3000000,0,S,0,0,0,3000000,0,3000000,S,S,S,S,0,0,0,0,0,0,0,0,0,0,0,0,0,S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,S,S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,S,S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,S,S
2007,1017,University of Arkansas,Y,001108,A,N,AR,1,1,0,0,0,0,1,1,3,99271,.,1,1,1,1,0,1,1,0,0,1,394481,1,125857,1,25380,1,213540,1,5098,1,11358,1,13397,1,99045,1,17073,1,67139,0,0,0,0,S,1,0,0,0,0,0,0,0,6165000,0,0,0,0,S,1,2,2000000,0,4165000,6165000,0,0,8300000,8300000,0,0,0,0,0,0,0,0,0,0,0,0,0,S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,S,S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,S,S,1,0,0,0,0,0,0,0,0,0,0,66325369,0,0,0,0,0,0,0,0,0,0,0,0,S,S
2007,1018,University of Arkansas for Medical Sciences,Y,001109,A,N,AR,1,1,0,1,0,1,1,1,3,107871,.,1,1,1,1,1,1,2,1,1,0,0,1,107000,0,0,0,0,1,2000,0,0,0,0,0,0,0,0,0,0,0,0,20383,1,96653,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,S,S,S,S,S,S,S,S,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2007,1019,California Institute of Technology,Y,001131,A,N,CA,1,2,0,0,0,0,0,0,4,270269,.,1,1,1,1,0,1,1,0,0,0,0,1,190926,1,17410,1,182347,0,0,1,2561,1,60156,1,236881,0,0,1,8013,0,0,0,0,S,1,0,0,0,10212409,0,0,0,0,0,0,0,0,S,1,3,0,0,10212409,10212409,0,0,45622214,45622214,1,0,599569,0,1061697,0,0,0,766276,0,0,0,0,S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,S,S,1,0,0,14000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,S,S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,S,S
2007,1020,California State University-Fullerton,Y,001137,A,N,CA,2,1,0,0,0,0,0,0,4,4522,.,1,1,1,1,0,1,0,0,0,0,0,1,16231,0,0,0,0,1,2440,1,200,1,4906,1,13676,1,1721,1,8740,0,0,0,0,S,1,0,800000,0,0,0,0,0,0,0,0,0,0,S,0,0,0,0,800000,800000,S,S,S,S,0,0,0,0,0,0,0,0,0,0,0,0,0,S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,S,S,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,400000,0,0,0,0,S,S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,S,S
2007,1021,California State University-Long Beach,Y,001139,A,N,CA,1,1,0,0,0,0,0,0,4,10322,.,1,1,1,1,0,1,0,0,0,0,0,1,21000,1,3320,1,26184,1,2088,1,830,1,438,1,22700,1,4682,1,1240,0,0,0,0,S,0,0,0,0,0,0,0,0,0,0,0,0,0,S,0,0,S,S,S,S,S,S,S,S,0,0,0,0,0,0,0,0,0,0,0,0,0,S,1,0,17500000,0,0,0,0,12300000,29000000,0,0,0,0,19000,0,0,0,0,13500,31352,0,0,0,0,S,S,1,0,3000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,S,S,1,0,0,0,0,0,0,0,0,0,60000000,0,0,0,0,0,0,0,0,0,0,0,0,0,S,S
